Name,Surname,Real Name,Type,Gender,Nationality,Complete Name (Name Surname),Complete Name (Surname Name),Have Image [Y/N]
A.J.,Liebling,,"Journalist, Press Critic",Male,American,"A.J., Liebling","Liebling, A.J.",
Abbas,Kiarostami,,"Film Director, Screenwriter",Male,Iranian,"Abbas, Kiarostami","Kiarostami, Abbas",
Achille,Mbembe,,"Philosopher, Political Theorist",Male,Cameroonian,"Achille, Mbembe","Mbembe, Achille",
Ad,Reinhardt,Adolf Frederick Reinhardt,"Painter, Art Theorist",Male,American,"Ad, Reinhardt","Reinhardt, Ad",
Adam,Higginbotham,,"Journalist, Author",Male,British,"Adam, Higginbotham","Higginbotham, Adam",
Adam,Scott Huerta,,"Author, Poet",Male,American,"Adam, Scott Huerta","Scott Huerta, Adam",
Adam,Smith,,"Philosopher, Economist",Male,Scottish,"Adam, Smith","Smith, Adam",
Adolfo,Bioy Casares,,,Male,Argentinian,"Adolfo, Bioy Casares","Bioy Casares, Adolfo",
Agesander,of Rhodes,,Sculptor,Male,Greek,"Agesander, of Rhodes","of Rhodes, Agesander",
Agnes,Martin,,Painter,Female,"Canadian, American","Agnes, Martin","Martin, Agnes",
Agnes,Pelton,,"Painter, Mystic",Female,"German, American","Agnes, Pelton","Pelton, Agnes",
Agnès,Varda,,"Film Director, Screenwriter",Female,French,"Agnès, Varda","Varda, Agnès",
Agnieszka,Holland,,"Film Director, Screenwriter",Female,Polish,"Agnieszka, Holland","Holland, Agnieszka",
Agota,Kristof,,"Novelist, Playwright",Female,"Hungarian, Swiss","Agota, Kristof","Kristof, Agota",Y
Agustina,Bazterrica,,Novelist,Female,Argentinian,"Agustina, Bazterrica","Bazterrica, Agustina",
Aharon,Appelfeld,,"Novelist, Short Story Writer",Male,Israeli,"Aharon, Appelfeld","Appelfeld, Aharon",
Akira,Kurosawa,,"Film Director, Screenwriter",Male,Japanese,"Akira, Kurosawa","Kurosawa, Akira",
Alain,Badiou,,"Philosopher, Playwright",Male,French,"Alain, Badiou","Badiou, Alain",
Albert Joseph,Pénot,,Painter,Male,French,"Albert Joseph, Pénot","Pénot, Albert Joseph",
Albert von,Keller,,Painter,Male,Swiss,"Albert von, Keller","Keller, Albert von",
Albert,Aublet,,Painter,Male,French,"Albert, Aublet","Aublet, Albert",
Albert,Camus,,"Philosopher, Writer, Novelist, Playwright",Male,French,"Albert, Camus","Camus, Albert",Y
Albert,Einstein,,,,,"Albert, Einstein","Einstein, Albert",
Albert,Joseph-Pénot,,Painter,Male,French,"Albert, Joseph-Pénot","Joseph-Pénot, Albert",
Albert,Pinkham Ryder,,Painter,Male,American,"Albert, Pinkham Ryder","Pinkham Ryder, Albert",
Alberto,Giacometti,,"Sculptor, Painter",Male,Swiss,"Alberto, Giacometti","Giacometti, Alberto",
Alberto,Moravia,,"Novelist, Short Story Writer, Journalist",Male,Italian,"Alberto, Moravia","Moravia, Alberto",
Albrecht,Altdorfer,,"Painter, Printmaker, Architect",Male,German,"Albrecht, Altdorfer","Altdorfer, Albrecht",
Albrecht,Dürer,,"Painter, Printmaker, Theorist",Male,German,"Albrecht, Dürer","Dürer, Albrecht",
Aldous,Huxley,,,,,"Aldous, Huxley","Huxley, Aldous",
Aleister,Crowley,,"Occultist, Mystic Philosopher",Male,British,"Aleister, Crowley","Crowley, Aleister",
Alejandra,Pizarnik,,Poet,Female,Argentine,"Alejandra, Pizarnik","Pizarnik, Alejandra",
Alejandro González,Iñárritu,,"Film Director, Producer, Screenwriter",Male,Mexican,"Alejandro González, Iñárritu","Iñárritu, Alejandro González",
Alejandro,Jodorowsky,,"Film Director, Screenwriter, Artist",Male,"Chilean, French","Alejandro, Jodorowsky","Jodorowsky, Alejandro",
Alejo,Carpentier,,"Novelist, Essayist",Male,Cuban,"Alejo, Carpentier","Carpentier, Alejo",
Aleksandr,Rodchenko,,"Painter, Sculptor, Photographer, Graphic Designer",Male,Russian,"Aleksandr, Rodchenko","Rodchenko, Aleksandr",
Aleksandr,Sokurov,,Film Director,Male,Russian,"Aleksandr, Sokurov","Sokurov, Aleksandr",
